phone,Operating System,"Physical Size ""
Samsung Galaxy S20+,Android,6.7,17,1440,3200,1440,525,100% MDPI,20 : 9,0,Vendor object,0,Phone
Samsung Galaxy Note20 Ultra,Android,6.9,17.5,1440,3088,1440,496,100% MDPI,19 . 3 : 9,0,Vendor object,0,Phone
Samsung Galaxy S20 Ultra,Android,6.9,17.5,1440,3200,1440,511,100% MDPI,20 : 9,0,Vendor object,0,Phone
Samsung Galaxy Note10+,Android,6.8,17.3,1440,3040,1440,498,100% MDPI,19 : 9,0,Vendor object,0,Phone
Samsung Galaxy Note20,Android,6.7,17,1080,2400,1080,393,100% MDPI,20 : 9,0,Vendor object,0,Phone
Samsung Galaxy Note10,Android,6.3,16,1080,2280,1080,401,100% MDPI,19 : 9,0,Vendor object,0,Phone
Samsung Galaxy J7 Prime2,Android,5.5,13.9,1080,1920,1080,401,100% MDPI,16 : 9,0,Vendor object,0,Phone
Samsung Galaxy J7 Prime,Android,5.5,13.9,1080,1920,1080,401,100% MDPI,17 : 9,0,Vendor object,0,Phone
HTC Desire,Android,3.7,9.4,480,800,320,252,150% HDPI,3 : 5,0,Vendor object,0,Phone
Samsung Galaxy S8,Android,5.8,14.7,2960,1440,2960,570,100% MDPI,5 : 9,0,Vendor object,0,Phone
Apple iPhone 8,iOS,4.7,11.9,750,1334,750,326,100% MDPI,16 : 9,0,Vendor object,0,Phone
Apple iPhone X,iOS,5.8,14.7,1125,2436,1125,463,100% MDPI,19 . 5 : 9,0,Vendor object,0,Phone
Apple iPhone 11,iOS,6.1,15.5,828,1792,828,326,100% MDPI,19 . 5 : 9,0,Vendor object,0,Phone
Apple iPhone 11 Pro,iOS,5.8,14.7,1125,2436,1125,458,100% MDPI,19 . 5 : 9,0,Vendor object,0,Phone
Apple iPhone 11 Pro Max,iOS,6.5,16.5,1242,2688,1242,458,100% MDPI,19 . 5 : 9,0,Vendor object,0,Phone
Oppo A59,Android,5.5,14,1280,720,1280,267,100% MDPI,16 : 9,0,Vendor object,0,Phone
HTC Desire HD,Android,4.3,11,480,800,320,217,150% HDPI,3 : 5,0,Vendor object,0,Phone
Apple iPad Pro,iOS,12.9,32.8,2732,2048,2732,264,100% MDPI,3 : 4,45,Vendor object,0,Tablet
Apple iPad Mini,iOS,7.9,20,768,1024,768,163,100% MDPI,3 : 4,16,Vendor object,0,Tablet
Apple iPad Air,iOS,9.7,24.4,2048,1536,2048,264,100% MDPI,3 : 4,13,Vendor object,0,Tablet
Apple iPad Air 2,iOS,9.7,24.4,2048,1536,2048,264,100% MDPI,3 : 4,7,Vendor object,0,Tablet
Amazon Fire,Android,7,17.8,1024,600,1024,171,100% MDPI,5 : 8,6,Vendor object,0,Tablet
Apple iPad Mini 4,iOS,7.9,20.1,2048,1536,2048,264,100% MDPI,3 : 4,4,Vendor object,0,Tablet
Microsoft Surface Pro (2017),Windows,12.5,31.8,2736,1824,2736,263,100% MDPI,3 : 2,4,Vendor object,0,Tablet
Dell XPS 13,Windows,13.3,33.8,1920,1080,1920,276,100% MDPI,9 : 16,4,Vendor object,0,Monitor
Apple iPad Mini 2,iOS,7.9,20.1,2048,1536,2048,264,100% MDPI,3 : 4,3,Vendor object,0,Tablet
Microsoft Surface Book,Windows,13.5,34.3,3000,2000,3000,267,100% MDPI,2 : 3,1,Vendor object,0,Monitor
Apple MacBook Pro 13-inch,OS X,13.3,33.8,2560,1600,2560,227,100% MDPI,5 : 8,1,Vendor object,0,Monitor
Huawei Mat,Android,6,15.2,1920,1080,1920,368,100% MDPI,16 : 9,1,Vendor object,0,Tablet
Samsung Chromebook,Chrome,11.6,29,1366,768,1366,135,100% MDPI,16 : 9,1,Vendor object,0,Monitor
Acer Chromebook,Chrome,11.6,29,1366,768,1366,135,100% MDPI,16 : 9,1,Vendor object,0,Monitor
Apple MacBook Air 13-inch (Late 2010 - Mid 2012),OS X,13.3,34,1440,900,1440,128,100% MDPI,8 : 5,0,Vendor object,0,Monitor
Apple MacBook Pro 13-inch (Mid 2009 - Mid 2012),OS X,13.3,34,1280,800,1280,113,100% MDPI,8 : 5,0,Vendor object,0,Monitor
Apple MacBook Pro 13-inch (Retina display),OS X,13.3,34,2560,1600,1280,227,200% XHDPI,8 : 5,0,Vendor object,0,Monitor
BlackBerry PlayBook,BlackBerry,7,18,1024,600,1024,169,100% MDPI,16 : 9,0,Vendor object,0,Tablet
Apple iPad 1 & 2,iOS,9.7,25,768,1024,768,132,100% MDPI,3 : 4,0,Vendor object,0,Tablet
Apple iPad 3 & 4,iOS,9.7,25,1536,2048,768,264,200% XHDPI,3 : 4,0,Vendor object,0,Tablet
Lenovo Yoga 10 HD+,Android,10.1,25.7,1920,1200,1920,224,100% MDPI,5 : 8,0,Vendor object,0,Tablet
Samsung Galaxy Note Pro 12.2,Android,12.2,31,2560,1600,2560,247,100% MDPI,5 : 8,0,Vendor object,0,Tablet
Sony Xperia Z4,Android,10.1,25.7,2560,1600,2560,299,100% MDPI,5 : 8,0,Vendor object,0,Tablet
Dell Venue 10,Windows,10.1,25.7,1280,800,1280,149,100% MDPI,5 : 8,0,Vendor object,0,Tablet
Microsoft Surface Pro 3,Windows,12,30.5,2160,1440,2160,216,100% MDPI,2 : 3,0,Vendor object,0,Tablet
Microsoft Surface Pro 4,Windows,12.3,31.2,2736,1824,2736,267,100% MDPI,2 : 3,0,Vendor object,0,Tablet
Panasonic BT-4LH310P,SDI,31,78.7,2160,4096,2160,149,100% MDPI,17 : 9,0,Vendor object,0,Monitor
Panasonic BT-LH1850,SDI,18.5,47,768,1366,768,None,100% MDPI,16 : 9,0,Vendor object,0,Monitor
Asus K55N-DS81 15.6 in,Windows,15.6,40,1366,768,1366,100,100% MDPI,16 : 9,0,Vendor object,0,Monitor
Asus PB287Q,Windows,28,71.1,3840,2160,3840,157,100% MDPI,9 : 16,0,Vendor object,0,Monitor
"Dell Inspiron 14 series 36""",Windows,14.1,36,1600,900,1600,130,100% MDPI,16 : 9,0,Vendor object,0,Monitor
"Dell S2340M 23""",Windows,23,58,1920,1080,1920,96,100% MDPI,16 : 9,0,Vendor object,0,Monitor
"Dell U2713HM 27""",Windows,27,69,2560,1440,2560,109,100% MDPI,16 : 9,0,Vendor object,0,Monitor
"Dell UltraSharp U2412M 24""",Windows,24,61,1920,1200,1920,94,100% MDPI,8 : 5,0,Vendor object,0,Monitor
"Dell UltraSharp U2711 27""",Windows,27,69,2560,1440,2560,109,100% MDPI,16 : 9,0,Vendor object,0,Monitor
"Dell UltraSharp U3011 30""",Windows,30,76,2560,1600,2560,100,100% MDPI,8 : 5,0,Vendor object,0,Monitor
Dell UltraSharp UZ2315H,Windows,23,58.4,1920,1080,1920,96,100% MDPI,9 : 16,0,Vendor object,0,Monitor
"HP Pavilion G6-2235us 15.6"" Laptop (2...",Windows,15.6,40,1366,768,1366,100,100% MDPI,16 : 9,0,Vendor object,0,Monitor
HP Dreamcolor Z27x,Windows,27,68.6,2560,1440,2560,109,100% MDPI,9 : 16,0,Vendor object,0,Monitor
Lenovo Thinkpad X230,Windows,12.5,32,1366,768,1366,125,100% MDPI,16 : 9,0,Vendor object,0,Monitor
Panasonic BT-4LH310 4K LCD Monitor,,10,25.4,2160,3840,2160,441,100% MDPI,17 : 9,0,Vendor object,0,Monitor
Panasonic BT-LH910 LCD Video Monitor,,9,23,768,1280,768,320,100% MDPI,15 : 9,0,Vendor object,0,Monitor
Apple MacBook 12-inch,OS X,12,30.5,2304,1440,2304,226,100% MDPI,5 : 8,0,Vendor object,0,Monitor
Apple MacBook Air 11-inch,OS X,11.6,29.5,1366,768,1366,135,100% MDPI,5 : 8,0,Vendor object,0,Monitor
Apple MacBook Air 13-inch,OS X,13.3,33.8,1440,900,1440,128,100% MDPI,5 : 8,0,Vendor object,0,Monitor
FUJITSU LIFEBOOK U745,Windows,14,35.6,900,1600,900,300,100% MDPI,5 : 8,0,Vendor object,0,Tablet
FUJITSU STYLISTIC Q665,Windows,11.6,29.5,1080,1920,720,190,150% HDPI,16 : 9,0,Vendor object,0,Tablet
FUJITSU STYLISTIC Q736,Windows,13.3,33.8,1080,1920,540,165,200% XHDPI,16 : 9,0,Vendor object,0,Tablet
Acer Switch 10 E,Android,10.1,25.7,1280,800,1280,154,100% MDPI,5 : 8,0,Vendor object,0,Tablet
Amazon Fire HD 8,Android,8,20.3,1280,800,1280,189,100% MDPI,5 : 8,0,Vendor object,0,Tablet
Amazon Fire HD 6,Android,6,15.2,1280,800,1280,252,100% MDPI,5 : 8,0,Vendor object,0,Tablet
Amazon Fire HD 10,Android,10,25.4,1280,800,1280,149,100% MDPI,5 : 8,0,Vendor object,0,Tablet
Asus ZenPad 8.0,Android,8,20.3,1280,800,1280,189,100% MDPI,5 : 8,0,Vendor object,0,Tablet
Asus Nexus 7,Android,7,17.8,1280,800,1280,323,100% MDPI,5 : 8,0,Vendor object,0,Tablet
HTC Nexus 9,Android,8.9,22.6,2048,1536,2048,288,100% MDPI,3 : 4,0,Vendor object,0,Tablet
Apple MacBook Pro 15-inch,OS X,15.4,39.1,2880,1800,2880,220,100% MDPI,5 : 8,0,Vendor object,0,Monitor
Apple iMac 21.5-inch (Retina 4K Display),OS X,21.5,54.6,4096,2304,4096,219,100% MDPI,5 : 8,0,Vendor object,0,Monitor
Apple iMac 27-inch (Retina 5K Display),OS X,27,68.6,5120,2880,5120,218,100% MDPI,5 : 8,0,Vendor object,0,Monitor
Acer S277HK,Windows,27,68.6,3840,2160,3840,163,100% MDPI,9 : 16,0,Vendor object,0,Monitor
Asus ZenBook UX305,Windows,13.3,33.8,1920,1080,1920,276,100% MDPI,9 : 16,0,Vendor object,0,Monitor
Asus Chrombook Flip,Windows,10.1,25.7,1280,800,1280,150,100% MDPI,9 : 16,0,Vendor object,0,Monitor
Asus ROG G751JL-BSI7T28,Windows,17.3,43.9,1920,1080,1920,127,100% MDPI,9 : 16,0,Vendor object,0,Monitor
Dell Inspiron 15 5000 Series,Windows,15.6,39.6,1366,768,1366,100,100% MDPI,9 : 16,0,Vendor object,0,Monitor
ViewSonic VX2452mh,Windows,24,61,1920,1080,1920,94,100% MDPI,9 : 16,0,Vendor object,0,Monitor
Google Pixel C,Android,10.2,25,1600,1200,1600,307,100% MDPI,,0,Vendor object,0,Tablet
Apple iPad Pro 9.7,iOS,9.4,24,2048,1536,2048,264,100% MDPI,4 : 3,0,Vendor object,0,Tablet
Acer Iconia Tab A,Android,10.1,26,1280,800,1280,149,100% MDPI,16 : 10,0,Vendor object,0,Tablet
Acer Picasso,Android,11.6,29,768,1280,768,190,100% MDPI,3 : 5,0,Vendor object,0,Tablet
Ainol Novo 10 Hero,Android,10,25,1280,800,1280,149,100% MDPI,8 : 5,0,Vendor object,0,Tablet
Ainol Novo 7 Crystal,Android,7,18,1024,600,1024,169,100% MDPI,16 : 9,0,Vendor object,0,Tablet
Ainol Novo 9 Spark,Android,9.7,25,2048,1536,1024,264,200% XHDPI,4 : 3,0,Vendor object,0,Tablet
Amazon Kindle Fire 1st Gen,Android,7,18,600,1024,600,169,100% MDPI,75 : 128,0,Vendor object,0,Tablet
"Amazon Kindle Fire HD 7""",Android,7,18,800,1280,533,216,150% HDPI,5 : 8,0,Vendor object,0,Tablet
"Amazon Kindle Fire HD 8.9""",Android,8.9,23,1200,1920,800,254,150% HDPI,5 : 8,0,Vendor object,0,Tablet
Asus Zenfone 2 Laser ZE500KL,Android,5,13,1280,720,1280,294,100% MDPI,16 : 9,0,Vendor object,0,Tablet
Asus Nexus 7 (2012),Android,7,18,800,1280,603,216,N/A,5 : 8,0,Vendor object,0,Tablet
Asus Nexus 7 (2013),Android,7,18,1200,1920,600,323,200% XHDPI,N / A,0,Vendor object,0,Tablet
Asus Transformer,Android,10.1,26,1200,1920,800,224,150% HDPI,5 : 8,0,Vendor object,0,Tablet
Barnes & Noble Nook Tablet,Android,7,18,600,800,600,171,100% MDPI,3 : 4,0,Vendor object,0,Tablet
HP 7 Voice Tab,Android,6.9,24,1024,600,1024,216,100% MDPI,16 : 10,0,Vendor object,0,Tablet
HP 7 Plus Tablet,Android,7,17.7,1024,600,1024,170,100% MDPI,16 : 10,0,Vendor object,0,Tablet
HP Slate 8 Plus Tablet,Android,8,20.3,1280,800,1280,216,100% MDPI,16 : 10,0,Vendor object,0,Tablet
Micromax Canvas 6,Android,5.5,13.9,1920,1080,1920,401,100% MDPI,16 : 9,0,Vendor object,0,Tablet
Samsung Galaxy Tab 10.1,Android,10.1,25.7,800,1280,533,149,150% HDPI,5 : 8,0,Vendor object,0,Tablet
Samsung Galaxy Tab 2,Android,7.7,20,600,1024,600,170,100% MDPI,75 : 128,0,Vendor object,0,Tablet
Samsung Galaxy Tab 2 10.1,Android,10.1,26,800,1280,800,149,100% MDPI,5 : 8,0,Vendor object,0,Tablet
Samsung Galaxy Tab S2,Android,9.7,24.4,2048,1536,2048,264,100% MDPI,4 : 3,0,Vendor object,0,Tablet
Toshiba AT100,Android,10.1,25.7,1280,800,853,149,150% HDPI,8 : 5,0,Vendor object,0,Tablet
Toshiba Thrive,Android,10.1,25.6,800,1280,800,149,100% MDPI,16 : 10,0,Vendor object,0,Tablet
Toshiba Encore 2 Write,Android,10.1,25.7,1280,800,1280,189,100% MDPI,5 : 8,0,Vendor object,0,Tablet
Dell Venue,Android,7,17.7,1280,800,1280,216,100% MDPI,5 : 3,0,Vendor object,0,Tablet
HP Slate 7,Android,7,17.7,1024,600,1024,170,100% MDPI,16 : 9,0,Vendor object,0,Tablet
Toshiba Excite Go,Android,7,17.7,1024,600,1024,170,100% MDPI,16 : 9,0,Vendor object,0,Tablet
HP Slate7 VoiceTab,Android,7,17.7,1280,800,1280,294,100% MDPI,16 : 9,0,Vendor object,0,Tablet
Apple iPad 10.2 (2020),iOS,10.2,25.9,2160,1620,2160,264,100% MDPI,3 : 4,0,Vendor object,0,Tablet
Apple iPad Pro 11,iOS,11,27.9,2388,1668,2388,264,100% MDPI,10 : 7,0,Vendor object,0,Tablet
Apple iPad Pro 12.9,iOS,12.9,32.8,2732,2048,2732,264,100% MDPI,4 : 3,0,Vendor object,0,Tablet
Apple iPad Mini (2019),iOS,7.9,20.1,2048,1536,2048,326,100% MDPI,4 : 3,0,Vendor object,0,Tablet
Google Chromebook Pixel,Chrome,12.9,33,2560,1700,1280,239,200% XHDPI,3 : 2,0,Vendor object,0,Monitor
Apple iPad Pro 10.5,iOS,10.5,26.7,2224,1668,2224,264,100% MDPI,4 : 3,0,Vendor object,0,Tablet
Apple iPad Air (2019),iOS,10.5,26.7,2224,1668,2224,264,100% MDPI,3 : 4,0,Vendor object,0,Tablet
Apple iPad Air (2020),iOS,10.9,27.7,2360,1640,2360,264,100% MDPI,16 : 23,0,Vendor object,0,Tablet
"Apple Cinema Display 30""",OS X,30,76,2560,1600,2560,100,100% MDPI,8 : 5,0,Vendor object,0,Monitor
"Apple Thunderbolt Display 27""",OS X,27,69,2560,1440,2560,109,100% MDPI,16 : 9,0,Vendor object,0,Monitor
Apple iMac 21.5-inch (Late 2009 - Late 2012),OS X,21.5,55,1921,1080,1921,102,100% MDPI,16 : 9,0,Vendor object,0,Monitor
Apple iMac 27-inch (Late 2009 - Late 2012),OS X,27,69,2560,1440,2560,109,100% MDPI,16 : 9,0,Vendor object,0,Monitor
Apple MacBook Air 11-inch (Late 2010 - Mid 2012),OS X,11.6,29,1366,768,1366,135,100% MDPI,16 : 9,0,Vendor object,0,Monitor
Apple MacBook Pro 15-inch (Early 2006 - Mid 2012),OS X,15.4,39,1440,900,1440,110,100% MDPI,8 : 5,0,Vendor object,0,Monitor
Apple MacBook Pro 15-inch (Hi-Res screen),OS X,15.4,39,1680,1050,1680,128,100% MDPI,8 : 5,0,Vendor object,0,Monitor
Apple MacBook Pro 15-inch (Retina display),OS X,15.4,39,2880,1800,1440,220,200% XHDPI,8 : 5,0,Vendor object,0,Monitor
Apple MacBook Pro 17-inch (Mid/Late 2007 - Late 2011),OS X,17.3,44,1920,1200,1920,131,100% MDPI,8 : 5,0,Vendor object,0,Monitor
Panasonic BT-LH2170,SDI,21.5,546.1,1080,1920,1080,149,100% MDPI,16 : 9,0,Vendor object,0,Monitor
Panasonic BT-LH910GJ,SDI,9,22.9,768,1280,768,None,100% MDPI,16 : 9,0,Vendor object,0,Monitor